X,Y
0,86.5000
1,84.8846
2,84.6026
3,84.8333
4,84.9359
5,84.7821
6,84.3846
7,83.1154
8,81.6538
9,80.2692
10,78.7436
11,76.3205
12,74.6923
13,73.4231
14,73.9231
15,71.4231
16,70.7949
17,69.8333
18,67.4103
19,66.8333
20,67.6923
21,67.6538
22,66.4231
23,65.0769
24,63.8462
25,63.5769
26,63.6538
27,62.7692
28,61.5385
29,60.6154
30,59.8077
31,59.8462
32,58.8077
33,57.4615
34,56.5769
35,56.5000
36,56.8077
37,56.5000
38,54.7564
39,54.5256
40,53.3718
41,52.1026
42,52.1410
43,52.2179
44,50.9487
45,48.9872
46,48.4872
47,48.4103
48,48.3333
49,48.6795
50,49.0256
51,48.8333
52,47.9872
53,47.3333
54,47.2436
55,47.2051
56,46.9359
57,46.7821
58,47.1667
59,47.3205
60,45.6282
61,43.6667
62,44.0513
63,44.2436
64,45.0128
65,45.2821
66,44.7436
67,43.7436
68,43.6282
69,44.0513
70,42.2949
71,42.6410
72,42.9872
73,42.9872
74,42.5256
75,42.1410
76,42.0641
77,42.1026
78,41.8333
79,41.6795
80,41.7179
81,41.7564
82,41.6795
83,41.8333
84,41.7949
85,41.7179
86,40.2564
87,40.4872
88,40.9103
89,40.5641
90,39.8333
91,39.1410
92,39.2179
93,39.3333
94,38.8333
95,38.9872
96,39.1026
97,38.6795
98,38.5256
99,38.8333
100,39.9487
101,40.9872
102,39.2179
103,39.2179
104,38.5641
105,37.7949
106,37.5256
107,37.5256
108,37.4487
109,36.9487
110,37.2949
111,38.4103
112,39.0256
113,38.4487
114,37.4487
115,37.1026
116,37.2949
117,37.5256
118,37.6410
119,37.2949
120,37.1410
121,37.2564
122,37.7564
123,38.1795
124,38.2179
125,38.2179
126,39.4103
127,37.7949
128,36.6026
129,36.4872
130,36.9487
131,37.1795
132,37.7949
133,38.3718
134,37.7179
135,37.1026
136,36.6795
137,36.9872
138,37.0641
139,36.8333
140,36.9487
141,37.0256
142,37.4487
143,37.1026
144,36.9103
145,36.8333
146,36.7564
147,36.9487
148,36.6026
149,36.4103
150,36.7949
151,36.4487
152,36.9872
153,37.9872
154,37.6795
155,36.3333
156,35.7949
157,36.2564
158,38.2564
159,37.5256
160,35.9487
161,34.9872
162,34.7564
163,34.7949
164,35.0256
165,35.2949
166,35.8590
167,35.5897
168,35.5513
169,35.6667
170,36.6282
171,37.1282
172,36.7051
173,35.7436
174,36.2821
175,34.8974
176,34.4744
177,36.0128
178,37.2051
179,36.7821
180,36.0897
181,36.0128
182,36.5000
183,35.8077
184,35.7692
185,36.5385
186,38.0128
187,38.4359
188,37.7821
189,37.0897
190,35.7179
191,36.4872
192,37.5256
193,38.3718
194,38.2692
195,37.4231
196,38.2692
197,40.0000
198,40.6795
199,40.6410
200,40.5256
201,40.8333
202,41.1026
203,40.7564
204,40.0641
205,39.4487
206,38.5385
207,37.7308
208,37.7308
209,38.9231
210,39.7308
211,39.4231
212,39.7308
213,40.6154
214,39.5385
215,39.7308
216,39.8846
217,39.4231
218,38.8974
219,39.0513
220,40.1667
221,41.0513
222,40.8077
223,40.3462
224,40.2692
225,40.4231
226,40.6282
227,41.1282
228,41.7436
229,42.2051
230,43.1154
231,44.4103
232,45.8333
233,46.4103
234,46.1923
235,45.7308
236,45.4231
237,45.1410
238,46.1282
239,45.1410
240,44.6154
241,45.5385
242,46.2051
243,46.8205
244,48.0128
245,49.0513
246,48.5256
247,48.1410
248,48.0256
249,48.2949
250,48.7821
251,49.7051
252,49.5385
253,49.6538
254,51.0000
255,52.0000
256,49.6923
257,47.9615
258,48.7692
259,50.5000
260,50.8974
261,51.4359
262,54.8846
