[front_panel]
mode=T1 - R1
output=5 dB
gain=10 dB
probe1=2 MHz
probe2=no probe

[measure]
selection=1
samplerate=2
begin=0
end=72
sound speed=2710
units=0

[ascan]
fft filter=0
fft middle=1
fft width=1
fft gate=0
cepstrum filter=0
cepstrum middle=0
cepstrum width=20
cepstrum gate=20

Depth [µs]	Amplitude	HF-filtered	Amplitude-filtered	
4,120E+00	1,249E-02	0,000E+00	0,000E+00	
4,160E+00	1,281E-02	0,000E+00	0,000E+00	
4,200E+00	1,310E-02	0,000E+00	0,000E+00	
4,240E+00	1,330E-02	0,000E+00	0,000E+00	
4,280E+00	1,340E-02	0,000E+00	0,000E+00	
4,320E+00	1,341E-02	0,000E+00	0,000E+00	
4,360E+00	1,333E-02	0,000E+00	0,000E+00	
4,400E+00	1,320E-02	0,000E+00	0,000E+00	
4,440E+00	1,305E-02	0,000E+00	0,000E+00	
4,480E+00	1,290E-02	0,000E+00	0,000E+00	
4,520E+00	1,278E-02	0,000E+00	0,000E+00	
4,560E+00	1,271E-02	0,000E+00	0,000E+00	
4,600E+00	1,268E-02	0,000E+00	0,000E+00	
4,640E+00	1,269E-02	0,000E+00	0,000E+00	
4,680E+00	1,273E-02	0,000E+00	0,000E+00	
4,720E+00	1,276E-02	0,000E+00	0,000E+00	
4,760E+00	1,278E-02	0,000E+00	0,000E+00	
4,800E+00	1,277E-02	0,000E+00	0,000E+00	
4,840E+00	1,272E-02	0,000E+00	0,000E+00	
4,880E+00	1,264E-02	0,000E+00	0,000E+00	
4,920E+00	1,254E-02	0,000E+00	0,000E+00	
4,960E+00	1,243E-02	0,000E+00	0,000E+00	
5,000E+00	1,232E-02	0,000E+00	0,000E+00	
5,040E+00	1,223E-02	0,000E+00	0,000E+00	
5,080E+00	1,218E-02	0,000E+00	0,000E+00	
5,120E+00	1,216E-02	0,000E+00	0,000E+00	
5,160E+00	1,218E-02	0,000E+00	0,000E+00	
5,200E+00	1,222E-02	0,000E+00	0,000E+00	
5,240E+00	1,228E-02	0,000E+00	0,000E+00	
5,280E+00	1,233E-02	0,000E+00	0,000E+00	
5,320E+00	1,236E-02	0,000E+00	0,000E+00	
5,360E+00	1,236E-02	0,000E+00	0,000E+00	
5,400E+00	1,231E-02	0,000E+00	0,000E+00	
5,440E+00	1,224E-02	0,000E+00	0,000E+00	
5,480E+00	1,213E-02	0,000E+00	0,000E+00	
5,520E+00	1,200E-02	0,000E+00	0,000E+00	
5,560E+00	1,187E-02	0,000E+00	0,000E+00	
5,600E+00	1,175E-02	0,000E+00	0,000E+00	
5,640E+00	1,166E-02	0,000E+00	0,000E+00	
5,680E+00	1,160E-02	0,000E+00	0,000E+00	
5,720E+00	1,158E-02	0,000E+00	0,000E+00	
5,760E+00	1,160E-02	0,000E+00	0,000E+00	
5,800E+00	1,165E-02	0,000E+00	0,000E+00	
5,840E+00	1,173E-02	0,000E+00	0,000E+00	
5,880E+00	1,181E-02	0,000E+00	0,000E+00	
5,920E+00	1,189E-02	0,000E+00	0,000E+00	
5,960E+00	1,196E-02	0,000E+00	0,000E+00	
6,000E+00	1,202E-02	0,000E+00	0,000E+00	
6,040E+00	1,205E-02	0,000E+00	0,000E+00	
6,080E+00	1,207E-02	0,000E+00	0,000E+00	
6,120E+00	1,207E-02	0,000E+00	0,000E+00	
6,160E+00	1,206E-02	0,000E+00	0,000E+00	
6,200E+00	1,204E-02	0,000E+00	0,000E+00	
6,240E+00	1,202E-02	0,000E+00	0,000E+00	
6,280E+00	1,199E-02	0,000E+00	0,000E+00	
6,320E+00	1,196E-02	0,000E+00	0,000E+00	
6,360E+00	1,193E-02	0,000E+00	0,000E+00	
6,400E+00	1,191E-02	0,000E+00	0,000E+00	
6,440E+00	1,189E-02	0,000E+00	0,000E+00	
6,480E+00	1,188E-02	0,000E+00	0,000E+00	
6,520E+00	1,188E-02	0,000E+00	0,000E+00	
6,560E+00	1,189E-02	0,000E+00	0,000E+00	
6,600E+00	1,192E-02	0,000E+00	0,000E+00	
6,640E+00	1,197E-02	0,000E+00	0,000E+00	
6,680E+00	1,203E-02	0,000E+00	0,000E+00	
6,720E+00	1,211E-02	0,000E+00	0,000E+00	
6,760E+00	1,219E-02	0,000E+00	0,000E+00	
6,800E+00	1,228E-02	0,000E+00	0,000E+00	
6,840E+00	1,236E-02	0,000E+00	0,000E+00	
6,880E+00	1,242E-02	0,000E+00	0,000E+00	
6,920E+00	1,245E-02	0,000E+00	0,000E+00	
6,960E+00	1,245E-02	0,000E+00	0,000E+00	
7,000E+00	1,242E-02	0,000E+00	0,000E+00	
7,040E+00	1,234E-02	0,000E+00	0,000E+00	
7,080E+00	1,224E-02	0,000E+00	0,000E+00	
7,120E+00	1,212E-02	0,000E+00	0,000E+00	
7,160E+00	1,199E-02	0,000E+00	0,000E+00	
7,200E+00	1,185E-02	0,000E+00	0,000E+00	
7,240E+00	1,173E-02	0,000E+00	0,000E+00	
7,280E+00	1,162E-02	0,000E+00	0,000E+00	
7,320E+00	1,156E-02	0,000E+00	0,000E+00	
7,360E+00	1,152E-02	0,000E+00	0,000E+00	
7,400E+00	1,153E-02	0,000E+00	0,000E+00	
7,440E+00	1,158E-02	0,000E+00	0,000E+00	
7,480E+00	1,166E-02	0,000E+00	0,000E+00	
7,520E+00	1,176E-02	0,000E+00	0,000E+00	
7,560E+00	1,188E-02	0,000E+00	0,000E+00	
7,600E+00	1,200E-02	0,000E+00	0,000E+00	
7,640E+00	1,212E-02	0,000E+00	0,000E+00	
7,680E+00	1,222E-02	0,000E+00	0,000E+00	
7,720E+00	1,231E-02	0,000E+00	0,000E+00	
7,760E+00	1,236E-02	0,000E+00	0,000E+00	
7,800E+00	1,239E-02	0,000E+00	0,000E+00	
7,840E+00	1,240E-02	0,000E+00	0,000E+00	
7,880E+00	1,238E-02	0,000E+00	0,000E+00	
7,920E+00	1,233E-02	0,000E+00	0,000E+00	
7,960E+00	1,228E-02	0,000E+00	0,000E+00	
8,000E+00	1,221E-02	0,000E+00	0,000E+00	
8,040E+00	1,213E-02	0,000E+00	0,000E+00	
8,080E+00	1,206E-02	0,000E+00	0,000E+00	
8,120E+00	1,199E-02	0,000E+00	0,000E+00	
8,160E+00	1,193E-02	0,000E+00	0,000E+00	
8,200E+00	1,188E-02	0,000E+00	0,000E+00	
8,240E+00	1,184E-02	0,000E+00	0,000E+00	
8,280E+00	1,182E-02	0,000E+00	0,000E+00	
8,320E+00	1,180E-02	0,000E+00	0,000E+00	
8,360E+00	1,180E-02	0,000E+00	0,000E+00	
8,400E+00	1,180E-02	0,000E+00	0,000E+00	
8,440E+00	1,182E-02	0,000E+00	0,000E+00	
8,480E+00	1,185E-02	0,000E+00	0,000E+00	
8,520E+00	1,189E-02	0,000E+00	0,000E+00	
8,560E+00	1,193E-02	0,000E+00	0,000E+00	
8,600E+00	1,199E-02	0,000E+00	0,000E+00	
8,640E+00	1,206E-02	0,000E+00	0,000E+00	
