[front_panel]
mode=T1 - R1
output=5 dB
gain=10 dB
probe1=2 MHz
probe2=no probe

[measure]
selection=1
samplerate=2
begin=0
end=100
sound speed=2710
units=0

[ascan]
fft filter=0
fft middle=1
fft width=1
fft gate=0
cepstrum filter=0
cepstrum middle=0
cepstrum width=20
cepstrum gate=20

Depth [µs]	Amplitude	HF-filtered	Amplitude-filtered	
0,000E+00	4,433E-01	0,000E+00	0,000E+00	
4,000E-02	5,439E-01	0,000E+00	0,000E+00	
8,000E-02	6,477E-01	0,000E+00	0,000E+00	
1,200E-01	7,515E-01	0,000E+00	0,000E+00	
1,600E-01	8,519E-01	0,000E+00	0,000E+00	
2,000E-01	9,459E-01	0,000E+00	0,000E+00	
2,400E-01	1,031E+00	0,000E+00	0,000E+00	
2,800E-01	1,105E+00	0,000E+00	0,000E+00	
3,200E-01	1,168E+00	0,000E+00	0,000E+00	
3,600E-01	1,218E+00	0,000E+00	0,000E+00	
4,000E-01	1,257E+00	0,000E+00	0,000E+00	
4,400E-01	1,285E+00	0,000E+00	0,000E+00	
4,800E-01	1,304E+00	0,000E+00	0,000E+00	
5,200E-01	1,314E+00	0,000E+00	0,000E+00	
5,600E-01	1,319E+00	0,000E+00	0,000E+00	
6,000E-01	1,319E+00	0,000E+00	0,000E+00	
6,400E-01	1,315E+00	0,000E+00	0,000E+00	
6,800E-01	1,310E+00	0,000E+00	0,000E+00	
7,200E-01	1,305E+00	0,000E+00	0,000E+00	
7,600E-01	1,299E+00	0,000E+00	0,000E+00	
8,000E-01	1,293E+00	0,000E+00	0,000E+00	
8,400E-01	1,287E+00	0,000E+00	0,000E+00	
8,800E-01	1,280E+00	0,000E+00	0,000E+00	
9,200E-01	1,270E+00	0,000E+00	0,000E+00	
9,600E-01	1,258E+00	0,000E+00	0,000E+00	
1,000E+00	1,243E+00	0,000E+00	0,000E+00	
1,040E+00	1,222E+00	0,000E+00	0,000E+00	
1,080E+00	1,197E+00	0,000E+00	0,000E+00	
1,120E+00	1,167E+00	0,000E+00	0,000E+00	
1,160E+00	1,132E+00	0,000E+00	0,000E+00	
1,200E+00	1,092E+00	0,000E+00	0,000E+00	
1,240E+00	1,047E+00	0,000E+00	0,000E+00	
1,280E+00	9,997E-01	0,000E+00	0,000E+00	
1,320E+00	9,498E-01	0,000E+00	0,000E+00	
1,360E+00	8,988E-01	0,000E+00	0,000E+00	
1,400E+00	8,479E-01	0,000E+00	0,000E+00	
1,440E+00	7,983E-01	0,000E+00	0,000E+00	
1,480E+00	7,509E-01	0,000E+00	0,000E+00	
1,520E+00	7,067E-01	0,000E+00	0,000E+00	
1,560E+00	6,662E-01	0,000E+00	0,000E+00	
1,600E+00	6,294E-01	0,000E+00	0,000E+00	
1,640E+00	5,964E-01	0,000E+00	0,000E+00	
1,680E+00	5,665E-01	0,000E+00	0,000E+00	
1,720E+00	5,393E-01	0,000E+00	0,000E+00	
1,760E+00	5,138E-01	0,000E+00	0,000E+00	
1,800E+00	4,893E-01	0,000E+00	0,000E+00	
1,840E+00	4,651E-01	0,000E+00	0,000E+00	
1,880E+00	4,405E-01	0,000E+00	0,000E+00	
1,920E+00	4,150E-01	0,000E+00	0,000E+00	
1,960E+00	3,886E-01	0,000E+00	0,000E+00	
2,000E+00	3,612E-01	0,000E+00	0,000E+00	
2,040E+00	3,332E-01	0,000E+00	0,000E+00	
2,080E+00	3,048E-01	0,000E+00	0,000E+00	
2,120E+00	2,768E-01	0,000E+00	0,000E+00	
2,160E+00	2,496E-01	0,000E+00	0,000E+00	
2,200E+00	2,239E-01	0,000E+00	0,000E+00	
2,240E+00	2,003E-01	0,000E+00	0,000E+00	
2,280E+00	1,791E-01	0,000E+00	0,000E+00	
2,320E+00	1,606E-01	0,000E+00	0,000E+00	
2,360E+00	1,449E-01	0,000E+00	0,000E+00	
2,400E+00	1,320E-01	0,000E+00	0,000E+00	
2,440E+00	1,216E-01	0,000E+00	0,000E+00	
2,480E+00	1,134E-01	0,000E+00	0,000E+00	
2,520E+00	1,071E-01	0,000E+00	0,000E+00	
2,560E+00	1,022E-01	0,000E+00	0,000E+00	
2,600E+00	9,824E-02	0,000E+00	0,000E+00	
2,640E+00	9,482E-02	0,000E+00	0,000E+00	
2,680E+00	9,159E-02	0,000E+00	0,000E+00	
2,720E+00	8,829E-02	0,000E+00	0,000E+00	
2,760E+00	8,471E-02	0,000E+00	0,000E+00	
2,800E+00	8,076E-02	0,000E+00	0,000E+00	
2,840E+00	7,640E-02	0,000E+00	0,000E+00	
2,880E+00	7,165E-02	0,000E+00	0,000E+00	
2,920E+00	6,659E-02	0,000E+00	0,000E+00	
2,960E+00	6,134E-02	0,000E+00	0,000E+00	
3,000E+00	5,603E-02	0,000E+00	0,000E+00	
3,040E+00	5,081E-02	0,000E+00	0,000E+00	
3,080E+00	4,582E-02	0,000E+00	0,000E+00	
3,120E+00	4,118E-02	0,000E+00	0,000E+00	
3,160E+00	3,699E-02	0,000E+00	0,000E+00	
3,200E+00	3,333E-02	0,000E+00	0,000E+00	
3,240E+00	3,023E-02	0,000E+00	0,000E+00	
3,280E+00	2,771E-02	0,000E+00	0,000E+00	
3,320E+00	2,573E-02	0,000E+00	0,000E+00	
3,360E+00	2,424E-02	0,000E+00	0,000E+00	
3,400E+00	2,317E-02	0,000E+00	0,000E+00	
3,440E+00	2,242E-02	0,000E+00	0,000E+00	
3,480E+00	2,191E-02	0,000E+00	0,000E+00	
3,520E+00	2,153E-02	0,000E+00	0,000E+00	
3,560E+00	2,122E-02	0,000E+00	0,000E+00	
3,600E+00	2,089E-02	0,000E+00	0,000E+00	
3,640E+00	2,050E-02	0,000E+00	0,000E+00	
3,680E+00	2,003E-02	0,000E+00	0,000E+00	
3,720E+00	1,946E-02	0,000E+00	0,000E+00	
3,760E+00	1,881E-02	0,000E+00	0,000E+00	
3,800E+00	1,808E-02	0,000E+00	0,000E+00	
3,840E+00	1,733E-02	0,000E+00	0,000E+00	
3,880E+00	1,656E-02	0,000E+00	0,000E+00	
3,920E+00	1,581E-02	0,000E+00	0,000E+00	
3,960E+00	1,511E-02	0,000E+00	0,000E+00	
4,000E+00	1,448E-02	0,000E+00	0,000E+00	
4,040E+00	1,392E-02	0,000E+00	0,000E+00	
4,080E+00	1,344E-02	0,000E+00	0,000E+00	
4,120E+00	1,304E-02	0,000E+00	0,000E+00	
4,160E+00	1,270E-02	0,000E+00	0,000E+00	
4,200E+00	1,241E-02	0,000E+00	0,000E+00	
4,240E+00	1,215E-02	0,000E+00	0,000E+00	
4,280E+00	1,192E-02	0,000E+00	0,000E+00	
4,320E+00	1,170E-02	0,000E+00	0,000E+00	
4,360E+00	1,148E-02	0,000E+00	0,000E+00	
4,400E+00	1,128E-02	0,000E+00	0,000E+00	
4,440E+00	1,109E-02	0,000E+00	0,000E+00	
4,480E+00	1,091E-02	0,000E+00	0,000E+00	
4,520E+00	1,075E-02	0,000E+00	0,000E+00	
4,560E+00	1,062E-02	0,000E+00	0,000E+00	
4,600E+00	1,051E-02	0,000E+00	0,000E+00	
4,640E+00	1,043E-02	0,000E+00	0,000E+00	
4,680E+00	1,035E-02	0,000E+00	0,000E+00	
4,720E+00	1,029E-02	0,000E+00	0,000E+00	
4,760E+00	1,022E-02	0,000E+00	0,000E+00	
4,800E+00	1,016E-02	0,000E+00	0,000E+00	
4,840E+00	1,008E-02	0,000E+00	0,000E+00	
4,880E+00	1,001E-02	0,000E+00	0,000E+00	
4,920E+00	9,932E-03	0,000E+00	0,000E+00	
4,960E+00	9,860E-03	0,000E+00	0,000E+00	
5,000E+00	9,798E-03	0,000E+00	0,000E+00	
5,040E+00	9,753E-03	0,000E+00	0,000E+00	
5,080E+00	9,726E-03	0,000E+00	0,000E+00	
5,120E+00	9,718E-03	0,000E+00	0,000E+00	
5,160E+00	9,726E-03	0,000E+00	0,000E+00	
5,200E+00	9,744E-03	0,000E+00	0,000E+00	
5,240E+00	9,765E-03	0,000E+00	0,000E+00	
5,280E+00	9,781E-03	0,000E+00	0,000E+00	
5,320E+00	9,788E-03	0,000E+00	0,000E+00	
5,360E+00	9,780E-03	0,000E+00	0,000E+00	
5,400E+00	9,759E-03	0,000E+00	0,000E+00	
5,440E+00	9,728E-03	0,000E+00	0,000E+00	
5,480E+00	9,691E-03	0,000E+00	0,000E+00	
5,520E+00	9,655E-03	0,000E+00	0,000E+00	
5,560E+00	9,629E-03	0,000E+00	0,000E+00	
5,600E+00	9,616E-03	0,000E+00	0,000E+00	
5,640E+00	9,621E-03	0,000E+00	0,000E+00	
5,680E+00	9,643E-03	0,000E+00	0,000E+00	
5,720E+00	9,681E-03	0,000E+00	0,000E+00	
5,760E+00	9,729E-03	0,000E+00	0,000E+00	
5,800E+00	9,781E-03	0,000E+00	0,000E+00	
5,840E+00	9,832E-03	0,000E+00	0,000E+00	
5,880E+00	9,877E-03	0,000E+00	0,000E+00	
5,920E+00	9,915E-03	0,000E+00	0,000E+00	
5,960E+00	9,946E-03	0,000E+00	0,000E+00	
6,000E+00	9,973E-03	0,000E+00	0,000E+00	
6,040E+00	1,000E-02	0,000E+00	0,000E+00	
6,080E+00	1,003E-02	0,000E+00	0,000E+00	
6,120E+00	1,008E-02	0,000E+00	0,000E+00	
6,160E+00	1,013E-02	0,000E+00	0,000E+00	
6,200E+00	1,020E-02	0,000E+00	0,000E+00	
6,240E+00	1,027E-02	0,000E+00	0,000E+00	
6,280E+00	1,035E-02	0,000E+00	0,000E+00	
6,320E+00	1,042E-02	0,000E+00	0,000E+00	
6,360E+00	1,048E-02	0,000E+00	0,000E+00	
6,400E+00	1,052E-02	0,000E+00	0,000E+00	
6,440E+00	1,053E-02	0,000E+00	0,000E+00	
6,480E+00	1,052E-02	0,000E+00	0,000E+00	
6,520E+00	1,048E-02	0,000E+00	0,000E+00	
6,560E+00	1,043E-02	0,000E+00	0,000E+00	
6,600E+00	1,036E-02	0,000E+00	0,000E+00	
6,640E+00	1,029E-02	0,000E+00	0,000E+00	
6,680E+00	1,022E-02	0,000E+00	0,000E+00	
6,720E+00	1,015E-02	0,000E+00	0,000E+00	
6,760E+00	1,010E-02	0,000E+00	0,000E+00	
6,800E+00	1,006E-02	0,000E+00	0,000E+00	
6,840E+00	1,002E-02	0,000E+00	0,000E+00	
6,880E+00	9,983E-03	0,000E+00	0,000E+00	
6,920E+00	9,943E-03	0,000E+00	0,000E+00	
6,960E+00	9,894E-03	0,000E+00	0,000E+00	
7,000E+00	9,833E-03	0,000E+00	0,000E+00	
7,040E+00	9,759E-03	0,000E+00	0,000E+00	
7,080E+00	9,674E-03	0,000E+00	0,000E+00	
7,120E+00	9,585E-03	0,000E+00	0,000E+00	
7,160E+00	9,498E-03	0,000E+00	0,000E+00	
7,200E+00	9,421E-03	0,000E+00	0,000E+00	
7,240E+00	9,364E-03	0,000E+00	0,000E+00	
7,280E+00	9,334E-03	0,000E+00	0,000E+00	
7,320E+00	9,335E-03	0,000E+00	0,000E+00	
7,360E+00	9,371E-03	0,000E+00	0,000E+00	
7,400E+00	9,439E-03	0,000E+00	0,000E+00	
7,440E+00	9,535E-03	0,000E+00	0,000E+00	
7,480E+00	9,653E-03	0,000E+00	0,000E+00	
7,520E+00	9,783E-03	0,000E+00	0,000E+00	
7,560E+00	9,915E-03	0,000E+00	0,000E+00	
7,600E+00	1,004E-02	0,000E+00	0,000E+00	
7,640E+00	1,015E-02	0,000E+00	0,000E+00	
7,680E+00	1,024E-02	0,000E+00	0,000E+00	
7,720E+00	1,030E-02	0,000E+00	0,000E+00	
7,760E+00	1,033E-02	0,000E+00	0,000E+00	
7,800E+00	1,033E-02	0,000E+00	0,000E+00	
7,840E+00	1,031E-02	0,000E+00	0,000E+00	
7,880E+00	1,027E-02	0,000E+00	0,000E+00	
7,920E+00	1,021E-02	0,000E+00	0,000E+00	
7,960E+00	1,014E-02	0,000E+00	0,000E+00	
8,000E+00	1,006E-02	0,000E+00	0,000E+00	
8,040E+00	9,978E-03	0,000E+00	0,000E+00	
8,080E+00	9,899E-03	0,000E+00	0,000E+00	
8,120E+00	9,824E-03	0,000E+00	0,000E+00	
8,160E+00	9,754E-03	0,000E+00	0,000E+00	
8,200E+00	9,692E-03	0,000E+00	0,000E+00	
8,240E+00	9,639E-03	0,000E+00	0,000E+00	
8,280E+00	9,597E-03	0,000E+00	0,000E+00	
8,320E+00	9,565E-03	0,000E+00	0,000E+00	
8,360E+00	9,547E-03	0,000E+00	0,000E+00	
8,400E+00	9,541E-03	0,000E+00	0,000E+00	
8,440E+00	9,549E-03	0,000E+00	0,000E+00	
8,480E+00	9,569E-03	0,000E+00	0,000E+00	
8,520E+00	9,600E-03	0,000E+00	0,000E+00	
8,560E+00	9,641E-03	0,000E+00	0,000E+00	
8,600E+00	9,690E-03	0,000E+00	0,000E+00	
8,640E+00	9,743E-03	0,000E+00	0,000E+00	
8,680E+00	9,797E-03	0,000E+00	0,000E+00	
8,720E+00	9,849E-03	0,000E+00	0,000E+00	
8,760E+00	9,896E-03	0,000E+00	0,000E+00	
8,800E+00	9,934E-03	0,000E+00	0,000E+00	
8,840E+00	9,961E-03	0,000E+00	0,000E+00	
8,880E+00	9,977E-03	0,000E+00	0,000E+00	
8,920E+00	9,979E-03	0,000E+00	0,000E+00	
8,960E+00	9,970E-03	0,000E+00	0,000E+00	
9,000E+00	9,951E-03	0,000E+00	0,000E+00	
9,040E+00	9,926E-03	0,000E+00	0,000E+00	
9,080E+00	9,896E-03	0,000E+00	0,000E+00	
9,120E+00	9,867E-03	0,000E+00	0,000E+00	
9,160E+00	9,840E-03	0,000E+00	0,000E+00	
9,200E+00	9,818E-03	0,000E+00	0,000E+00	
