#	Temperatur 7 (°C)	Temperatur 8 (°C)
278	33.93	31.43
279	33.99	31.43
280	34.09	31.42
281	34.18	31.40
282	34.29	31.40
283	34.40	31.39
284	34.53	31.39
285	34.64	31.38
286	34.77	31.37
287	34.88	31.37
288	34.99	31.36
289	35.12	31.36
290	35.23	31.36
291	35.34	31.35
292	35.45	31.35
293	35.55	31.35
294	35.66	31.35
295	35.76	31.36
296	35.86	31.36
297	35.95	31.36
298	36.04	31.37
299	36.13	31.38
300	36.21	31.38
301	36.29	31.39
302	36.37	31.40
303	36.45	31.40
304	36.52	31.41
305	36.59	31.43
306	36.65	31.44
307	36.71	31.45
308	36.78	31.46
309	36.83	31.47
310	36.89	31.49
311	36.94	31.50
312	37.00	31.52
313	37.04	31.53
314	37.09	31.55
315	37.14	31.56
316	37.18	31.58
317	37.23	31.60
318	37.27	31.62
319	37.31	31.63
320	37.35	31.65
321	37.39	31.67
322	37.41	31.68
323	37.45	31.70
324	37.48	31.72
325	37.51	31.74
326	37.51	31.76
327	37.51	31.78
328	37.48	31.80
329	37.44	31.82
330	37.39	31.83
331	37.34	31.85
332	37.27	31.87
333	37.19	31.88
334	37.12	31.90
335	37.03	31.92
336	36.94	31.93
337	36.85	31.95
338	36.76	31.96
339	36.67	31.97
340	36.57	31.98
341	36.49	32.00
342	36.39	32.01
343	36.30	32.02
344	36.21	32.03
345	36.13	32.04
346	36.04	32.04
347	35.96	32.05
348	35.88	32.05
349	35.80	32.06
350	35.72	32.07
351	35.66	32.07
352	35.58	32.08
353	35.51	32.08
354	35.44	32.08
355	35.37	32.08
356	35.30	32.08
357	35.24	32.08
358	35.18	32.08
359	35.12	32.08
360	35.06	32.07
361	35.01	32.07
362	34.95	32.07
363	34.91	32.07
364	34.86	32.06
365	34.81	32.06
366	34.77	32.05
367	34.71	32.04
368	34.68	32.04
369	34.63	32.03
370	34.59	32.02
371	34.55	32.02
372	34.49	32.00
373	34.44	32.00
374	34.41	31.99
375	34.38	31.98
376	34.36	31.96
377	34.35	31.96
378	34.38	31.95
379	34.42	31.94
380	34.48	31.93
381	34.56	31.91
382	34.64	31.91
383	34.74	31.90
384	34.84	31.90
385	34.94	31.89
386	35.05	31.88
387	35.16	31.87
388	35.28	31.86
389	35.39	31.85
