#	Zeit (s)	Temperatur 1 (°C)	Temperatur 2 (°C)	Temperatur 5 (°C)	Temperatur 6 (°C)
120	595.0000	41.92	44.57	45.66	47.06
121	600.0000	41.99	44.64	45.73	47.12
122	605.0000	42.06	44.71	45.79	47.19
123	610.0000	42.13	44.78	45.85	47.25
124	615.0000	42.20	44.85	45.91	47.31
125	620.0000	42.27	44.91	45.97	47.38
126	625.0000	42.33	44.97	46.02	47.41
127	630.0000	42.40	45.04	46.09	47.48
128	635.0000	42.47	45.11	46.15	47.55
129	640.0000	42.53	45.18	46.21	47.61
130	645.0000	42.60	45.24	46.27	47.68
131	650.0000	42.66	45.31	46.33	47.74
132	655.0000	42.73	45.37	46.40	47.80
133	660.0000	42.79	45.43	46.45	47.86
134	665.0000	42.85	45.50	46.52	47.92
135	670.0000	42.92	45.56	46.57	47.98
136	675.0000	42.99	45.62	46.63	48.04
137	680.0000	43.05	45.69	46.69	48.10
138	685.0000	43.11	45.75	46.75	48.16
139	690.0000	43.17	45.81	46.81	48.21
140	695.0000	43.23	45.87	46.87	48.27
141	700.0000	43.29	45.93	46.93	48.33
142	705.0000	43.36	45.99	46.98	48.39
143	710.0000	43.41	46.05	47.04	48.44
144	715.0000	43.47	46.11	47.09	48.49
145	720.0000	43.53	46.17	47.14	48.55
146	725.0000	43.59	46.23	47.20	48.61
147	730.0000	43.65	46.29	47.26	48.66
148	735.0000	43.70	46.34	47.31	48.72
149	740.0000	43.77	46.41	47.37	48.78
150	745.0000	43.82	46.46	47.42	48.83
151	750.0000	43.88	46.52	47.47	48.89
152	755.0000	43.93	46.57	47.52	48.93
153	760.0000	43.99	46.63	47.57	48.98
154	765.0000	44.05	46.68	47.63	49.04
155	770.0000	44.10	46.74	47.67	49.09
156	775.0000	44.16	46.79	47.73	49.14
157	780.0000	44.21	46.85	47.78	49.19
158	785.0000	44.27	46.90	47.84	49.25
159	790.0000	44.32	46.96	47.89	49.30
160	795.0000	44.37	47.01	47.94	49.35
161	800.0000	44.43	47.06	47.99	49.40
162	805.0000	44.48	47.12	48.05	49.45
163	810.0000	44.53	47.17	48.10	49.50
164	815.0000	44.59	47.22	48.14	49.56
165	820.0000	44.64	47.27	48.20	49.61
166	825.0000	44.69	47.32	48.24	49.65
167	830.0000	44.74	47.37	48.29	49.70
168	835.0000	44.79	47.43	48.34	49.75
169	840.0000	44.85	47.48	48.39	49.80
170	845.0000	44.89	47.53	48.44	49.85
171	850.0000	44.95	47.58	48.49	49.90
172	855.0000	44.99	47.63	48.53	49.95
173	860.0000	45.04	47.68	48.58	50.00
174	865.0000	45.09	47.73	48.63	50.05
175	870.0000	45.14	47.77	48.68	50.09
176	875.0000	45.19	47.82	48.73	50.14
177	880.0000	45.24	47.87	48.77	50.19
178	885.0000	45.28	47.92	48.82	50.23
179	890.0000	45.34	47.97	48.87	50.28
180	895.0000	45.38	48.02	48.91	50.33
181	900.0000	45.42	48.07	48.96	50.37
182	905.0000	45.48	48.11	49.00	50.42
183	910.0000	45.52	48.16	49.05	50.46
184	915.0000	45.57	48.20	49.09	50.51
185	920.0000	45.62	48.25	49.13	50.55
186	925.0000	45.66	48.30	49.18	50.60
187	930.0000	45.70	48.34	49.22	50.64
188	935.0000	45.75	48.39	49.26	50.69
189	940.0000	45.79	48.43	49.31	50.73
190	945.0000	45.84	48.48	49.35	50.77
191	950.0000	45.88	48.53	49.39	50.81
192	955.0000	45.93	48.57	49.44	50.86
193	960.0000	45.97	48.61	49.48	50.90
194	965.0000	46.02	48.66	49.52	50.95
195	970.0000	46.06	48.70	49.56	50.98
196	975.0000	46.11	48.74	49.61	51.03
197	980.0000	46.15	48.79	49.65	51.07
