# Abstand/mm Intensität/mikroA
5 0.0036
6 0.0038
7 0.0054
8 0.008
9 0.0115
10 0.015
11 0.018
12 0.018
13 0.014
14 0.012
15 0.01
16 0.012
17 0.02
18 0.036
19 0.06
20 0.1
20.5 0.12
21 0.14
21.5 0.18
22 0.18
22.5 0.2
23 0.22
23.5 0.22
24 0.24
24.5 0.26
#25 0.26
25.5 0.26
26 0.26
26.5 0.26
27 0.24
27.5 0.24
28 0.22
28.5 0.2
29 0.18
29.5 0.16
30 0.14
31 0.1
32 0.06
33 0.04
34 0.02
35 0.01
36 0.0072
37 0.0086
38 0.012
39 0.014
40 0.014
41 0.014
42 0.01
43 0.008
44 0.004
45 0.004
