# Abstand/mm Intensität/mikroA
20 0.12
20.25 0.18
20.5 0.24
20.75 0.26
21 0.28
21.25 0.48
21.5 0.94
21.75 1.4
22 1.8
22.25 1.6
22.5 1.2
22.75 1.6
23 2.8
23.25 4.6
23.5 5.6
23.75 5
24 3.6
24.25 2.8
24.5 4
24.75 6.2
25 7.8
25.25 7.4
25.5 5.4
25.75 3.4
26 3.2
26.25 4.4
26.5 5.6
26.75 5.6
27 4.4
27.25 2.6
27.5 1.6
27.75 1.6
28 2
28.25 2
28.5 1.6
28.75 1
29 0.6
29.25 0.4
29.5 0.4
29.75 0.2
30 0.2
