#Tiefe/mikros f-max/Hz f-mean/Hz Intensität/v^2s^(-1)*1000
8.5 -400 -195 205
9 -400 -195 230
9.5 -400 -195 220
10 -394 -195 290
10.5 -390 -195 230
11 -389 -189 150
11.5 -380 -195 124
12 -385 -183 133
12.5 -373 -183 110
13 -380 -189 130
13.5 -375 -183 116
14 -380 -195 110
14.5 -390 -195 100
15 -390 -195 100
15.5 -382 -189 100
16 -382 -195 90
